,date,name,budget,domesticgross,worldwidegross
334,7/13/2016,The Infiltrator,"$47,500,000","$15,436,808","$18,693,373"
335,11/11/2016,Arrival,"$47,000,000","$100,546,139","$203,178,872"
336,12/23/2016,Silence,"$46,500,000","$7,100,177","$16,377,381"
337,9/20/2013,Prisoners,"$46,000,000","$61,002,302","$113,402,302"
338,12/22/2017,Pitch Perfect 3,"$45,000,000","$104,897,530","$185,736,988"
339,10/7/2016,The Girl on the Train,"$45,000,000","$75,395,035","$170,327,930"
340,12/9/2016,Office Christmas Party,"$45,000,000","$54,767,494","$91,342,494"
341,5/23/2014,Blended,"$45,000,000","$46,290,741","$127,990,741"
342,6/16/2017,All Eyez on Me,"$45,000,000","$44,922,302","$54,876,855"
343,2/6/2014,The Interview,"$44,000,000","$6,105,175","$12,342,632"
344,6/28/2013,The Heat,"$43,000,000","$159,581,587","$229,727,774"
345,1/6/2017,A Monster Calls,"$43,000,000","$3,740,823","$46,422,066"
346,5/12/2017,Snatched,"$42,000,000","$45,852,178","$57,852,177"
347,12/31/2015,Pourquoi j'ai pas mangÃ© mon pÃ¨re,"$42,000,000",$0,"$182,156"
348,2/13/2015,Fifty Shades of Grey,"$40,000,000","$166,167,230","$570,998,101"
349,12/13/2013,American Hustle,"$40,000,000","$150,117,807","$257,878,294"
350,7/25/2014,Lucy,"$40,000,000","$126,573,960","$457,507,776"
351,12/25/2013,Lone Survivor,"$40,000,000","$125,095,601","$149,804,632"
352,6/10/2016,The Conjuring 2: The Enfield Poltergeist,"$40,000,000","$102,470,008","$311,270,008"
353,4/12/2013,42,"$40,000,000","$95,020,213","$97,470,701"
354,2/10/2017,John Wick: Chapter Two,"$40,000,000","$92,029,184","$171,529,184"
355,1/15/2016,Ride Along 2,"$40,000,000","$90,862,685","$124,827,316"
356,3/27/2015,Get Hard,"$40,000,000","$90,411,453","$106,511,453"
357,10/14/2016,The Accountant,"$40,000,000","$86,260,045","$153,060,045"
358,11/14/2014,Dumb and Dumber To,"$40,000,000","$86,208,010","$156,553,592"
359,4/25/2014,The Other Woman,"$40,000,000","$83,911,193","$195,111,193"
360,9/25/2015,The Intern,"$40,000,000","$75,764,672","$197,232,734"
361,10/16/2015,Bridge of Spies,"$40,000,000","$72,313,754","$162,610,473"
362,11/4/2016,Hacksaw Ridge,"$40,000,000","$67,209,615","$160,234,705"
363,2/15/2013,Escape From Planet Earth,"$40,000,000","$57,012,977","$74,156,610"
364,11/26/2014,Horrible Bosses 2,"$40,000,000","$54,445,357","$105,945,357"
365,6/20/2014,Jersey Boys,"$40,000,000","$47,047,013","$65,282,732"
366,5/30/2014,A Million Ways to Die in The West,"$40,000,000","$42,720,965","$86,778,557"
367,7/18/2014,Sex Tape,"$40,000,000","$38,543,473","$126,069,509"
368,12/21/2016,Patriots Day,"$40,000,000","$31,886,361","$52,461,361"
369,12/25/2013,Grudge Match,"$40,000,000","$29,807,260","$69,807,260"
370,8/11/2017,The Nut Job 2: Nutty by Nature,"$40,000,000","$28,370,522","$57,943,808"
371,1/27/2017,Resident Evil: The Final Chapter,"$40,000,000","$26,844,692","$307,353,906"
372,6/30/2017,The House,"$40,000,000","$25,584,504","$31,192,743"
373,3/20/2015,The Gunman,"$40,000,000","$10,664,749","$13,853,999"
374,8/16/2013,Paranoia,"$40,000,000","$7,388,654","$16,340,767"
375,7/10/2015,Baahubali: The Beginning,"$40,000,000","$6,738,000","$26,736,665"
376,3/9/2018,The Hurricane Heist,"$40,000,000","$6,115,824","$12,724,991"
377,11/25/2015,Victor Frankenstein,"$40,000,000","$5,775,076","$33,175,076"
378,6/27/2014,Snowpiercer,"$40,000,000","$4,563,029","$88,069,880"
379,11/11/2016,Billy Lynnâs Long Halftime Walk,"$40,000,000","$1,738,477","$25,863,458"
380,4/16/2013,Un monstre Ã  Paris ,"$40,000,000",$0,"$27,000,381"
381,11/11/2016,USS Indianapolis: Men of Courage,"$40,000,000",$0,"$1,641,255"
382,12/31/2014,Dragon Nest Warriors' Dawn,"$40,000,000",$0,"$196,090"
383,8/23/2013,Yi dai zong shi,"$38,600,000","$6,594,959","$57,987,299"
384,6/2/2017,Captain Underpants: The First Epic Movie,"$38,000,000","$73,921,000","$123,261,024"
385,4/17/2015,Paul Blart: Mall Cop 2,"$38,000,000","$71,091,594","$107,650,646"
386,12/23/2016,Why Him?,"$38,000,000","$60,323,786","$117,523,786"
387,9/6/2013,Riddick,"$38,000,000","$42,025,135","$94,763,758"
388,1/22/2016,The 5th Wave,"$38,000,000","$34,912,982","$111,336,398"
389,9/20/2013,Rush,"$38,000,000","$26,947,624","$98,230,839"
390,10/20/2017,Only the Brave,"$38,000,000","$18,340,051","$21,752,792"
391,8/7/2013,We're the Millers,"$37,000,000","$150,394,119","$267,816,276"
392,11/25/2015,Creed,"$37,000,000","$109,767,581","$173,567,581"
393,2/23/2018,Game Night,"$37,000,000","$68,951,586","$117,151,586"
394,2/12/2016,How to be Single,"$37,000,000","$46,843,513","$99,595,932"
395,5/29/2015,Aloha,"$37,000,000","$21,052,030","$24,935,799"
396,9/12/2014,Dolphin Tale 2,"$36,000,000","$42,024,533","$57,824,533"
397,12/16/2016,Collateral Beauty,"$36,000,000","$31,016,021","$85,315,070"
398,1/22/2016,Yip Man 3,"$36,000,000","$2,679,437","$156,835,197"
399,4/14/2017,Queen of the Desert,"$36,000,000",$0,"$1,552,072"
400,9/8/2017,It,"$35,000,000","$327,481,748","$697,459,228"
401,2/8/2013,Identity Thief,"$35,000,000","$134,506,920","$175,361,578"
402,7/17/2015,Trainwreck,"$35,000,000","$110,212,700","$141,123,897"
403,12/13/2013,Saving Mr. Banks,"$35,000,000","$83,299,761","$114,962,525"
404,5/20/2016,Neighbors 2: Sorority Rising,"$35,000,000","$55,340,730","$108,758,521"
405,5/22/2015,Poltergeist,"$35,000,000","$47,425,125","$95,825,125"
406,1/19/2018,12 Strong,"$35,000,000","$45,500,164","$69,687,337"
407,5/8/2015,Hot Pursuit,"$35,000,000","$34,580,201","$45,680,201"
408,12/25/2015,Concussion,"$35,000,000","$34,531,832","$50,363,790"
409,10/13/2017,The Foreigner,"$35,000,000","$34,393,507","$140,783,646"
410,9/16/2016,Bridget Jonesâs Baby,"$35,000,000","$24,139,805","$203,555,567"
411,3/4/2016,Whiskey Tango Foxtrot,"$35,000,000","$23,083,334","$24,915,969"
412,8/21/2015,Hitman: Agent 47,"$35,000,000","$22,467,450","$81,967,450"
413,6/1/2018,Adrift,"$35,000,000","$21,740,025","$22,539,025"
414,1/18/2013,Broken City,"$35,000,000","$19,701,164","$34,480,045"
415,1/25/2013,Parker,"$35,000,000","$17,616,641","$48,543,388"
416,3/28/2014,Sabotage,"$35,000,000","$10,508,518","$18,376,443"
417,3/6/2015,Unfinished Business,"$35,000,000","$10,219,501","$12,819,501"
418,9/30/2015,The Walk,"$35,000,000","$10,161,183","$61,197,045"
419,11/29/2013,Mandela: Long Walk to Freedom,"$35,000,000","$8,323,085","$29,890,402"
420,3/11/2016,The Brothers Grimsby,"$35,000,000","$6,864,016","$28,721,408"
421,10/20/2017,The Snowman,"$35,000,000","$6,670,765","$43,232,849"
422,4/22/2016,A Hologram for the King,"$35,000,000","$4,212,494","$11,848,058"
423,3/13/2015,The Lovers,"$35,000,000",$0,"$11,106"
424,6/28/2017,Baby Driver,"$34,000,000","$107,825,862","$228,104,185"
425,9/19/2014,The Maze Runner,"$34,000,000","$102,427,862","$348,319,861"
426,4/10/2015,The Longest Ride,"$34,000,000","$37,446,117","$63,802,928"
427,9/5/2014,Thunder and the House of Magic,"$34,000,000","$4,091","$11,092,749"
428,7/8/2016,Mike and Dave Need Wedding Dates,"$33,000,000","$46,009,673","$75,909,673"
429,7/31/2015,The Young and Prodigious T.S. Spivet,"$33,000,000","$176,847","$357,687"
430,10/30/2015,Freaks of Nature,"$33,000,000","$70,958","$70,958"
431,4/26/2013,The Big Wedding,"$32,500,000","$21,819,348","$48,425,971"
432,6/12/2013,This is the End,"$32,000,000","$101,470,202","$126,539,117"
433,4/20/2018,I Feel Pretty,"$32,000,000","$48,619,500","$79,405,500"
434,3/15/2013,The Incredible Burt Wonderstone,"$32,000,000","$22,537,881","$27,392,609"
435,4/15/2016,Criminal,"$31,500,000","$14,708,696","$38,771,262"
436,3/7/2014,The Grand Budapest Hotel,"$31,000,000","$59,076,019","$164,350,409"
437,7/29/2015,Vacation,"$31,000,000","$58,884,188","$101,287,415"
438,8/16/2013,Lee Daniels' The Butler,"$30,000,000","$116,632,095","$177,025,498"
439,12/18/2015,Sisters,"$30,000,000","$87,044,645","$106,030,660"
440,8/18/2017,The Hitmanâs Bodyguard,"$30,000,000","$75,468,583","$172,779,292"
441,2/1/2013,Warm Bodies,"$30,000,000","$66,380,662","$115,121,608"
442,1/17/2014,The Nut Job,"$30,000,000","$64,251,538","$122,529,966"
443,7/24/2015,Southpaw,"$30,000,000","$52,421,953","$94,207,861"
444,7/28/2017,Atomic Blonde,"$30,000,000","$51,573,925","$98,368,372"
445,5/11/2018,Life of the Party,"$30,000,000","$50,266,577","$58,966,577"
446,9/18/2015,Sicario,"$30,000,000","$46,889,293","$84,448,946"
447,1/19/2018,Den of Thieves,"$30,000,000","$44,947,622","$79,424,321"
448,10/24/2014,John Wick,"$30,000,000","$43,037,835","$76,235,001"
449,4/24/2015,The Age of Adaline,"$30,000,000","$42,629,776","$69,057,415"
450,9/13/2013,The Family,"$30,000,000","$36,918,811","$51,078,541"
451,2/9/2018,The 15:17 to Paris,"$30,000,000","$36,250,957","$56,096,971"
452,10/18/2013,Carrie,"$30,000,000","$35,266,619","$82,409,520"
453,3/2/2018,Death Wish,"$30,000,000","$34,017,028","$48,578,424"
454,6/3/2015,Entourage,"$30,000,000","$32,363,404","$46,352,925"
455,2/8/2013,Side Effects,"$30,000,000","$32,172,757","$66,742,138"
456,7/2/2014,Deliver Us from Evil,"$30,000,000","$30,577,122","$87,956,618"
457,8/1/2014,Get on Up,"$30,000,000","$30,569,935","$33,339,868"
458,8/25/2017,Ballerina,"$30,000,000","$21,858,070","$96,921,549"
459,10/4/2013,Runner Runner,"$30,000,000","$19,316,646","$60,512,680"
460,4/28/2017,Baahubali 2: The Conclusion,"$30,000,000","$18,985,794","$263,502,914"
461,10/9/2015,Steve Jobs,"$30,000,000","$17,766,658","$35,579,007"
462,1/18/2013,The Last Stand,"$30,000,000","$12,050,299","$48,330,757"
463,3/8/2013,Dead Man Down,"$30,000,000","$10,895,295","$19,599,974"
464,2/2/2018,Bilal: A New Breed of Hero,"$30,000,000","$490,515","$636,684"
465,1/30/2015,Wild Card,"$30,000,000","$3,200","$929,157"
466,6/5/2015,United Passions,"$30,000,000",$918,"$168,832"
467,12/1/2015,Grace of Monaco,"$30,000,000",$0,"$25,199,891"
468,3/8/2016,Savva. Serdtse voyna,"$30,000,000",$0,"$1,841,369"
469,12/31/2013,Space Pirate Captain Harlock,"$30,000,000",$0,"$143,490"
470,2/24/2017,Collide,"$29,200,000","$2,280,004","$5,278,519"
471,5/15/2015,Pitch Perfect 2,"$29,000,000","$184,296,230","$287,641,616"
472,4/8/2016,The Boss,"$29,000,000","$63,077,560","$78,652,395"
473,8/18/2017,Logan Lucky,"$29,000,000","$27,778,642","$39,632,019"
474,8/12/2016,Florence Foster Jenkins,"$29,000,000","$27,383,770","$56,017,691"
475,8/14/2015,Straight Outta Compton,"$28,000,000","$161,197,785","$202,182,981"
476,7/21/2017,Girls Trip,"$28,000,000","$115,108,515","$140,886,353"
477,11/1/2017,A Bad Moms Christmas,"$28,000,000","$72,110,659","$127,710,659"
478,2/14/2013,Safe Haven,"$28,000,000","$71,399,120","$94,050,951"
479,12/11/2015,The Big Short,"$28,000,000","$70,259,870","$133,162,752"
480,10/10/2014,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","$28,000,000","$66,954,149","$101,379,287"
481,1/28/2013,Last Vegas,"$28,000,000","$63,914,167","$112,914,167"
482,2/21/2014,3 Days to Kill,"$28,000,000","$30,697,999","$38,959,900"
483,8/16/2013,Kick-Ass 2,"$28,000,000","$28,795,985","$63,129,909"
484,9/19/2014,A Walk Among the Tombstones,"$28,000,000","$26,017,685","$62,108,587"
485,4/25/2014,Brick Mansions,"$28,000,000","$20,396,829","$73,421,224"
486,8/21/2015,American Ultra,"$28,000,000","$14,439,985","$30,295,076"
487,2/5/2016,Pride and Prejudice and Zombies,"$28,000,000","$10,907,291","$16,311,335"
488,10/30/2015,Our Brand is Crisis,"$28,000,000","$7,002,261","$8,592,432"
489,5/13/2016,Money Monster,"$27,000,000","$41,012,075","$93,469,699"
490,11/23/2016,Rules Donât Apply,"$26,700,000","$3,652,206","$3,871,448"
491,4/26/2013,Pain & Gain,"$26,000,000","$49,875,291","$81,275,291"
492,10/17/2014,The Best of Me,"$26,000,000","$26,766,213","$41,059,418"
493,7/10/2015,Self/Less,"$26,000,000","$12,279,691","$33,713,827"
494,10/18/2013,The Fifth Estate,"$26,000,000","$3,254,172","$6,154,172"
495,3/21/2014,Blood Ties,"$26,000,000","$42,472","$2,923,959"
496,6/30/2015,Viy,"$26,000,000",$0,"$34,246,770"
497,3/17/2015,Accidental Love,"$26,000,000",$0,"$135,436"
498,4/24/2015,The Face of an Angel,"$26,000,000",$0,$0
499,12/25/2016,Hidden Figures,"$25,000,000","$169,607,287","$231,800,856"
500,1/17/2014,Ride Along,"$25,000,000","$134,202,565","$153,733,800"
501,1/27/2017,A Dogâs Purpose,"$25,000,000","$64,321,890","$204,763,031"
502,12/13/2013,Tyler Perry's A Madea Christmas,"$25,000,000","$52,543,354","$52,543,354"
503,8/15/2014,The Giver,"$25,000,000","$45,090,374","$55,090,374"
504,11/20/2015,The Night Before,"$25,000,000","$43,035,725","$52,427,346"
505,12/25/2013,August: Osage County,"$25,000,000","$37,738,810","$50,738,810"
506,5/16/2014,Million Dollar Arm,"$25,000,000","$36,447,959","$39,217,912"
507,12/10/2014,The Gambler,"$25,000,000","$33,680,992","$38,718,031"
508,4/29/2016,Motherâs Day,"$25,000,000","$32,492,859","$52,380,013"
509,2/17/2017,Fist Fight,"$25,000,000","$32,187,017","$40,287,017"
510,4/11/2014,Draft Day,"$25,000,000","$28,842,237","$29,847,480"
511,2/3/2017,Rings,"$25,000,000","$27,793,018","$82,991,460"
512,8/5/2015,Shaun the Sheep,"$25,000,000","$19,375,982","$101,937,062"
513,3/24/2017,CHiPS,"$25,000,000","$18,600,152","$23,190,697"
514,12/22/2017,Father Figures,"$25,000,000","$17,501,244","$20,597,799"
515,10/25/2013,The Counselor,"$25,000,000","$16,973,715","$71,009,334"
516,9/22/2017,Battle of the Sexes,"$25,000,000","$12,638,526","$17,860,286"
517,11/13/2015,The 33,"$25,000,000","$12,227,722","$28,400,715"
518,9/1/2017,Tulip Fever,"$25,000,000","$2,455,635","$4,080,955"
519,11/20/2015,Legend,"$25,000,000","$1,872,994","$42,642,077"
520,1/29/2016,Jane Got a Gun,"$25,000,000","$1,513,793","$3,771,345"
521,3/22/2013,On the Road,"$25,000,000","$720,828","$9,313,302"
522,4/24/2015,Yi ge ren de wu lin,"$25,000,000","$129,115","$129,115"
523,12/31/2017,Matilda,"$25,000,000",$0,"$9,434,926"
524,3/10/2015,Red Sky,"$25,000,000",$0,"$91,116"
525,1/10/2014,The Adventurer: The Curse of the Midas Box,"$25,000,000",$0,$0
526,12/31/2016,Reagan,"$25,000,000",$0,$0
527,6/20/2014,Think Like a Man Too,"$24,000,000","$65,028,687","$70,027,933"
528,4/7/2017,Going in Style,"$24,000,000","$45,018,541","$78,714,211"
529,1/16/2015,The Wedding Ringer,"$23,000,000","$64,460,211","$80,171,596"
530,1/10/2014,Her,"$23,000,000","$25,568,251","$48,422,461"
531,2/26/2016,Eddie the Eagle,"$23,000,000","$15,789,389","$45,121,177"
532,6/28/2013,Redemption,"$23,000,000","$36,686","$13,593,473"
533,5/5/2017,ChÄi dÃ n zhuÄnjiÄ,"$23,000,000",$0,"$58,807,172"
534,11/18/2016,Nocturnal Animals,"$22,500,000","$10,663,357","$31,159,084"
535,4/24/2015,The Water Diviner,"$22,500,000","$4,200,117","$30,864,649"
536,2/28/2014,Son of God,"$22,000,000","$59,700,064","$70,949,793"
537,8/8/2014,The Hundred-Foot Journey,"$22,000,000","$54,235,441","$94,270,488"
538,11/22/2013,Delivery Man,"$22,000,000","$30,659,817","$70,536,870"
539,2/5/2016,"Hail, Caesar!","$22,000,000","$30,080,225","$64,171,419"
540,5/19/2017,Diary of a Wimpy Kid: The Long Haul,"$22,000,000","$20,738,724","$35,355,942"
541,11/27/2013,Homefront,"$22,000,000","$20,158,492","$51,695,362"
542,9/4/2015,The Transporter Refueled,"$22,000,000","$16,029,670","$69,698,495"
543,11/17/2017,"Roman J. Israel, Esq.","$22,000,000","$11,962,712","$12,791,488"
544,12/4/2013,Out of the Furnace,"$22,000,000","$11,330,849","$15,434,375"
545,12/8/2017,Just Getting Started,"$22,000,000","$6,069,605","$6,756,452"
546,10/31/2014,Before I Go to Sleep,"$22,000,000","$3,242,457","$19,563,579"
547,12/31/2013,Metegol,"$22,000,000",$0,"$30,051,905"
548,4/6/2018,Blockers,"$21,000,000","$59,775,230","$92,275,230"
549,2/24/2017,Bitter Harvest,"$21,000,000","$557,241","$606,162"
550,12/9/2016,La La Land,"$20,000,000","$151,101,803","$427,535,542"
551,7/19/2013,The Conjuring,"$20,000,000","$137,400,141","$318,000,141"
552,11/17/2017,Wonder,"$20,000,000","$132,422,809","$299,763,330"
553,7/29/2016,Bad Moms,"$20,000,000","$113,257,297","$181,457,297"
554,7/2/2014,Tammy,"$20,000,000","$84,525,432","$96,407,655"
555,10/21/2016,Tyler Perryâs Boo! A Madea Halloween,"$20,000,000","$73,206,343","$73,206,343"
556,10/18/2013,12 Years a Slave,"$20,000,000","$56,671,993","$181,025,343"
557,6/3/2016,Me Before You,"$20,000,000","$56,245,075","$205,445,075"
558,4/15/2016,Barbershop: The Next Cut,"$20,000,000","$54,030,051","$54,404,202"
559,1/9/2015,Selma,"$20,000,000","$52,076,908","$66,776,908"
560,10/20/2017,Tyler Perryâs Boo 2! A Madea Halloween,"$20,000,000","$47,319,572","$47,879,572"
561,11/6/2015,Spotlight,"$20,000,000","$45,055,776","$92,207,359"
562,3/30/2018,Acrimony,"$20,000,000","$43,549,096","$46,432,668"
563,6/26/2015,Max,"$20,000,000","$42,656,255","$43,658,157"
564,11/17/2017,The Star,"$20,000,000","$40,847,995","$62,011,755"
565,7/27/2016,Nerve,"$20,000,000","$38,583,626","$61,680,792"
566,2/19/2016,Risen,"$20,000,000","$36,880,033","$46,255,763"
567,1/4/2013,Texas Chainsaw 3D,"$20,000,000","$34,341,945","$47,666,013"
568,9/19/2014,This is Where I Leave You,"$20,000,000","$34,296,320","$41,296,320"
569,4/12/2013,Scary Movie V,"$20,000,000","$32,015,787","$78,613,981"
570,8/23/2013,The World's End,"$20,000,000","$26,004,851","$47,508,505"
571,2/14/2014,Endless Love,"$20,000,000","$23,438,250","$34,718,173"
572,6/16/2017,Rough Night,"$20,000,000","$22,105,643","$46,844,357"
573,11/20/2015,Secret in Their Eyes,"$20,000,000","$20,180,155","$30,808,558"
574,3/31/2017,The Zookeeperâs Wife,"$20,000,000","$17,445,186","$24,521,550"
575,9/29/2017,Flatliners,"$20,000,000","$16,883,115","$45,075,341"
576,10/30/2015,Burnt,"$20,000,000","$13,651,946","$32,632,668"
577,2/26/2016,Triple 9,"$20,000,000","$12,639,297","$25,943,792"
578,9/2/2016,The Light Between Oceans,"$20,000,000","$12,545,979","$19,773,031"
579,6/3/2016,Popstar: Never Stop Never Stopping,"$20,000,000","$9,496,130","$9,537,120"
580,10/27/2017,Thank You for Your Service,"$20,000,000","$9,479,390","$9,718,331"
581,9/20/2013,Battle of the Year,"$20,000,000","$8,888,355","$16,723,377"
582,4/29/2016,Ratchet and Clank,"$20,000,000","$8,813,410","$11,813,410"
583,12/12/2014,Inherent Vice,"$20,000,000","$8,110,975","$14,772,346"
584,10/11/2013,Machete Kills,"$20,000,000","$8,008,161","$18,273,009"
585,4/24/2015,Little Boy,"$20,000,000","$6,485,961","$17,684,355"
586,12/31/2014,A Most Violent Year,"$20,000,000","$5,749,134","$6,071,433"
587,8/26/2016,Hands of Stone,"$20,000,000","$4,712,792","$5,032,013"
588,11/3/2017,LBJ,"$20,000,000","$2,468,683","$2,496,118"
589,11/13/2015,My All-American,"$20,000,000","$2,246,000","$2,246,000"
590,4/28/2017,JÃ¬yÃ¬ dÃ shÄ«,"$20,000,000","$587,470","$43,326,383"
591,11/13/2015,By the Sea,"$20,000,000","$538,460","$3,727,746"
592,10/30/2015,Regression,"$20,000,000","$55,039","$14,883,495"
593,5/29/2015,Survivor,"$20,000,000",$0,"$774,905"
594,11/18/2016,The History of Love,"$20,000,000",$0,"$93,690"
595,8/29/2014,Dwegons and Leprechauns,"$20,000,000",$0,$0
596,7/22/2016,Fight Valley,"$20,000,000",$0,$0
597,12/31/2017,The Thousand Miles,"$20,000,000",$0,$0
598,12/1/2017,The Shape of Water,"$19,500,000","$63,859,435","$190,395,600"
599,8/23/2013,The Frozen Ground,"$19,200,000",$0,"$5,617,460"
600,8/12/2016,Sausage Party,"$19,000,000","$97,670,358","$141,354,394"
601,11/8/2013,The Book Thief,"$19,000,000","$21,488,481","$76,086,711"
602,6/1/2018,Action Point,"$19,000,000","$4,448,033","$4,448,033"
603,12/31/2013,Out of Inferno,"$19,000,000",$0,$0
604,5/9/2014,Neighbors,"$18,000,000","$150,086,800","$270,944,428"
605,3/25/2016,My Big Fat Greek Wedding 2,"$18,000,000","$59,689,605","$92,048,018"
606,9/11/2015,The Perfect Guy,"$18,000,000","$57,027,435","$60,278,166"
607,10/17/2014,Birdman or (The Unexpected Virtue of Ignorance),"$18,000,000","$42,340,598","$103,215,094"
608,7/26/2013,Blue Jasmine,"$18,000,000","$33,404,871","$102,912,961"
609,8/7/2015,Ricki and the Flash,"$18,000,000","$26,839,498","$41,166,033"
610,11/13/2015,Love the Coopers,"$18,000,000","$26,302,731","$42,167,286"
611,4/28/2017,The Circle,"$18,000,000","$20,497,844","$40,651,864"
612,1/15/2016,Norm of the North,"$18,000,000","$17,062,499","$27,392,195"
613,8/16/2013,Jobs,"$18,000,000","$16,131,410","$43,402,515"
614,7/25/2014,And So It Goes,"$18,000,000","$15,160,801","$17,762,041"
615,1/31/2014,Labor Day,"$18,000,000","$13,371,528","$14,189,810"
616,8/30/2013,Getaway,"$18,000,000","$10,501,938","$11,813,989"
617,4/11/2014,The Railway Man,"$18,000,000","$4,438,438","$23,910,210"
618,3/18/2016,Midnight Special,"$18,000,000","$3,712,282","$7,680,250"
619,11/25/2016,Miss Sloane,"$18,000,000","$3,500,605","$5,946,983"
620,9/27/2013,Metallica Through the Never,"$18,000,000","$3,419,967","$9,082,906"
621,3/17/2017,T2: Trainspotting,"$18,000,000","$2,402,004","$42,074,024"
622,3/1/2013,Phantom,"$18,000,000","$1,034,589","$1,199,510"
623,4/15/2016,I Am Wrath,"$18,000,000",$0,"$309,608"
624,8/22/2014,The Prince,"$18,000,000",$0,$0
625,11/14/2014,Wolves,"$18,000,000",$0,$0
626,2/19/2016,Forsaken,"$18,000,000",$0,$0
627,11/27/2013,Black Nativity,"$17,500,000","$7,018,188","$7,285,135"
628,4/6/2018,A Quiet Place,"$17,000,000","$185,460,343","$324,260,343"
629,8/13/2014,Letâs Be Cops,"$17,000,000","$82,390,774","$136,890,774"
630,11/15/2013,The Best Man Holiday,"$17,000,000","$70,525,195","$72,835,710"
631,4/5/2013,Evil Dead,"$17,000,000","$54,239,856","$97,778,356"
632,2/20/2015,"McFarland, USA","$17,000,000","$44,480,275","$45,707,924"
633,11/11/2016,Almost Christmas,"$17,000,000","$42,065,185","$42,493,506"
634,6/10/2016,Genius,"$17,000,000","$1,361,045","$5,653,176"
635,6/26/2015,Escobar: Paradise Lost,"$17,000,000","$195,792","$1,973,945"
636,9/26/2017,"Mune, le gardien de la lune","$17,000,000",$0,"$14,534,046"
637,3/11/2016,The Young Messiah,"$16,800,000","$6,469,813","$7,313,697"
638,10/3/2014,Left Behind,"$16,000,000","$14,019,924","$20,769,209"
639,11/18/2016,Bleed for This,"$16,000,000","$5,083,906","$6,248,077"
640,11/14/2014,The Homesman,"$16,000,000","$2,429,989","$8,217,571"
641,4/5/2013,Trance,"$16,000,000","$2,322,593","$22,594,052"
642,5/16/2014,The Immigrant,"$16,000,000","$2,013,456","$7,585,011"
643,10/1/2014,"Men, Women and Children","$16,000,000","$705,908","$1,705,908"
644,12/31/2013,Zulu,"$16,000,000",$0,"$1,844,228"
645,8/11/2017,Annabelle: Creation,"$15,000,000","$102,092,201","$305,492,201"
646,10/25/2013,Jackass Presents: Bad Grandpa,"$15,000,000","$102,003,019","$160,903,019"
647,11/28/2014,The Imitation Game,"$15,000,000","$91,125,143","$227,773,686"
648,1/18/2013,Mama,"$15,000,000","$71,628,180","$148,095,566"
649,2/22/2013,Snitch,"$15,000,000","$42,930,462","$57,907,734"
650,12/4/2015,Krampus,"$15,000,000","$42,725,475","$61,788,393"
651,12/3/2014,Wild,"$15,000,000","$37,880,356","$52,460,543"
652,11/7/2014,The Theory of Everything,"$15,000,000","$35,893,537","$123,327,692"
653,8/22/2014,When the Game Stands Tall,"$15,000,000","$30,127,963","$30,138,912"
654,9/8/2017,Home Again,"$15,000,000","$27,020,284","$37,337,061"
655,8/27/2014,The November Man,"$15,000,000","$25,018,119","$34,820,335"
656,3/29/2013,The Place Beyond the Pines,"$15,000,000","$21,403,519","$47,011,449"
657,4/29/2016,Keanu,"$15,000,000","$20,591,853","$20,688,141"
658,7/25/2014,A Most Wanted Man,"$15,000,000","$17,237,855","$36,068,890"
659,1/20/2017,The Founder,"$15,000,000","$12,786,053","$18,518,891"
660,5/10/2013,Peeples,"$15,000,000","$9,177,065","$9,307,166"
661,1/4/2013,Promised Land,"$15,000,000","$7,597,898","$12,394,562"
662,10/30/2015,Scouts Guide to the Zombie Apocalypse,"$15,000,000","$3,703,046","$15,554,855"
663,10/16/2015,Nie yin niang,"$15,000,000","$632,542","$6,832,542"
664,4/26/2013,The Reluctant Fundamentalist,"$15,000,000","$528,731","$528,731"
665,9/6/2013,Winnie Mandela,"$15,000,000","$61,847","$61,847"
666,12/6/2013,Khumba,"$15,000,000",$0,"$20,898,221"
667,5/5/2015,A Few Best Men,"$15,000,000",$0,"$17,224,539"
668,10/10/2014,Automata,"$15,000,000",$0,"$6,775,458"
669,12/31/2015,Chiamatemi Francesco - Il papa della gente,"$15,000,000",$0,"$3,454,036"
670,2/17/2017,In Dubious Battle,"$15,000,000",$0,"$214,182"
671,9/1/2015,Broken Horses,"$15,000,000",$0,"$3,471"
672,8/10/2018,The Meg,"$15,000,000",$0,$0
673,7/1/2015,Magic Mike XXL,"$14,500,000","$66,013,057","$123,709,460"
674,6/5/2015,Freedom,"$14,500,000",$0,"$812,783"
675,2/20/2015,Hot Tub Time Machine 2,"$14,000,000","$12,314,651","$12,452,601"
676,10/23/2015,Suffragette,"$14,000,000","$4,702,420","$34,044,909"
677,12/19/2014,Mr. Turner,"$14,000,000","$3,958,546","$25,187,026"
678,11/1/2016,Reign of Assassins,"$14,000,000",$0,"$11,354,230"
679,4/4/2014,Under the Skin,"$13,300,000","$2,614,251","$7,229,933"
680,9/12/2014,No Good Deed,"$13,200,000","$52,543,632","$54,323,210"
681,3/16/2016,Miracles from Heaven,"$13,000,000","$61,705,123","$73,798,720"
682,6/24/2016,The Shallows,"$13,000,000","$55,121,623","$118,888,025"
683,2/14/2014,About Last Night,"$13,000,000","$48,637,684","$50,445,860"
684,10/10/2014,St. Vincent,"$13,000,000","$44,137,712","$54,837,234"
