,date,name,budget,domesticgross,worldwidegross,Total,Result
93,11/26/2014,Penguins of Madagascar,"$132,000,000","$83,350,911","$367,650,911",451001822.0,Profit
94,11/22/2013,The Hunger Games: Catching Fire,"$130,000,000","$424,668,047","$864,868,047",1289536094.0,Profit
95,7/17/2015,Ant-Man,"$130,000,000","$180,202,163","$519,338,048",699540211.0,Profit
96,3/27/2015,Home,"$130,000,000","$177,397,510","$386,069,390",563466900.0,Profit
97,4/11/2014,Rio 2,"$130,000,000","$131,538,435","$492,846,291",624384726.0,Profit
98,3/28/2014,Noah,"$130,000,000","$101,200,044","$352,831,065",454031109.0,Profit
99,5/31/2013,After Earth,"$130,000,000","$60,522,097","$251,499,665",312021762.0,Profit
100,7/19/2013,R.I.P.D.,"$130,000,000","$33,618,855","$79,076,678",112695533.0,Loss
101,3/3/2017,Logan,"$127,000,000","$226,277,068","$615,577,068",841854136.0,Profit
102,12/19/2014,Night at the Museum: Secret of the Tomb,"$127,000,000","$113,746,621","$356,546,621",470293242.0,Profit
103,11/21/2014,The Hunger Games: Mockingjay - Part 1,"$125,000,000","$337,135,885","$766,652,288",1103788173.0,Profit
104,8/8/2014,Teenage Mutant Ninja Turtles,"$125,000,000","$191,204,754","$485,004,754",676209508.0,Profit
105,3/31/2017,The Boss Baby,"$125,000,000","$175,003,033","$512,017,946",687020979.0,Profit
106,11/4/2016,Trolls,"$125,000,000","$153,707,064","$344,780,046",498487110.0,Profit
107,12/21/2016,Assassinâs Creed,"$125,000,000","$54,647,948","$240,497,948",295145896.0,Profit
108,1/13/2017,Monster Trucks,"$125,000,000","$33,370,166","$61,681,268",95051434.0,Loss
109,7/29/2016,Jason Bourne,"$120,000,000","$162,192,920","$416,197,059",578389979.0,Profit
110,4/13/2018,Rampage,"$120,000,000","$95,434,392","$415,058,821",510493213.0,Profit
111,8/9/2013,Elysium,"$120,000,000","$93,050,117","$286,192,091",379242208.0,Profit
112,4/19/2013,Oblivion,"$120,000,000","$89,107,235","$287,916,633",377023868.0,Profit
113,3/24/2017,Power Rangers,"$120,000,000","$85,364,450","$142,364,450",227728900.0,Profit
114,2/12/2014,RoboCop,"$120,000,000","$58,607,007","$242,981,799",301588806.0,Profit
115,8/7/2015,Fantastic Four,"$120,000,000","$56,117,548","$167,977,596",224095144.0,Profit
116,7/26/2013,The Wolverine,"$115,000,000","$132,556,852","$416,456,852",549013704.0,Profit
117,4/22/2016,The Huntsman: Winterâs War,"$115,000,000","$48,003,015","$165,149,302",213152317.0,Profit
118,12/15/2017,Ferdinand,"$111,000,000","$84,410,380","$290,772,436",375182816.0,Profit
119,5/18/2018,Deadpool 2,"$110,000,000","$278,665,541","$655,258,541",933924082.0,Profit
120,10/4/2013,Gravity,"$110,000,000","$274,092,705","$695,941,797",970034502.0,Profit
121,5/29/2015,San Andreas,"$110,000,000","$155,190,832","$467,151,160",622341992.0,Profit
122,3/20/2015,The Divergent Series: Insurgent,"$110,000,000","$130,179,072","$295,279,072",425458144.0,Profit
123,3/7/2014,300: Rise of an Empire,"$110,000,000","$106,580,051","$330,780,051",437360102.0,Profit
124,12/21/2016,Passengers,"$110,000,000","$100,014,699","$302,212,434",402227133.0,Profit
125,9/30/2016,Miss Peregrineâs Home for Peculiar Children,"$110,000,000","$87,242,834","$296,642,834",383885668.0,Profit
126,7/31/2013,The Smurfs 2,"$110,000,000","$71,017,784","$348,547,523",419565307.0,Profit
127,3/18/2016,The Divergent Series: Allegiant,"$110,000,000","$66,184,051","$171,484,051",237668102.0,Profit
128,11/1/2013,Ender's Game,"$110,000,000","$61,737,191","$127,983,283",189720474.0,Profit
129,3/31/2017,Ghost in the Shell,"$110,000,000","$40,563,557","$167,918,847",208482404.0,Profit
130,10/2/2015,The Martian,"$108,000,000","$228,433,663","$663,851,905",892285568.0,Profit
131,7/22/2016,Ice Age: Collision Course,"$105,000,000","$64,063,008","$403,841,637",467904645.0,Profit
132,9/22/2017,Kingsman: The Golden Circle,"$104,000,000","$100,234,838","$408,834,838",509069676.0,Profit
133,5/23/2013,The Hangover 3,"$103,000,000","$112,200,072","$362,000,072",474200144.0,Profit
134,3/9/2018,A Wrinkle in Time,"$103,000,000","$98,138,307","$122,361,013",220499320.0,Profit
135,12/25/2013,The Wolf of Wall Street,"$100,000,000","$116,900,694","$389,870,414",506771108.0,Profit
136,5/24/2013,Epic,"$100,000,000","$107,518,682","$262,794,441",370313123.0,Profit
137,7/25/2014,Hercules,"$100,000,000","$72,688,614","$243,388,614",316077228.0,Profit
138,8/15/2014,The Expendables 3,"$100,000,000","$39,322,544","$209,461,378",248783922.0,Profit
139,10/20/2017,Geostorm,"$100,000,000","$33,700,160","$220,800,160",254500320.0,Profit
140,12/25/2015,Point Break,"$100,000,000","$28,782,481","$128,170,295",156952776.0,Profit
141,12/11/2015,In the Heart of the Sea,"$100,000,000","$25,020,758","$90,420,758",115441516.0,Profit
142,4/18/2014,Transcendence,"$100,000,000","$23,022,309","$103,039,258",126061567.0,Profit
143,11/6/2015,The Peanuts Movie,"$99,000,000","$130,178,411","$250,474,038",380652449.0,Profit
144,5/19/2017,Alien: Covenant,"$97,000,000","$74,262,031","$238,862,031",313124062.0,Profit
145,3/13/2015,Cinderella,"$95,000,000","$201,151,353","$534,551,353",735702706.0,Profit
146,8/19/2016,Ben-Hur,"$95,000,000","$26,410,477","$91,853,336",118263813.0,Profit
147,2/6/2015,Seventh Son,"$95,000,000","$17,725,785","$111,125,785",128851570.0,Profit
148,2/13/2015,Kingsman: The Secret Service,"$94,000,000","$128,261,724","$404,561,724",532823448.0,Profit
149,2/14/2013,A Good Day to Die Hard,"$92,000,000","$67,349,198","$304,249,198",371598396.0,Profit
150,12/25/2013,The Secret Life of Walter Mitty,"$91,000,000","$58,236,838","$188,275,200",246512038.0,Profit
151,12/20/2017,Jumanji: Welcome to the Jungle,"$90,000,000","$404,508,916","$962,091,730",1366600646.0,Profit
152,9/23/2016,The Magnificent Seven,"$90,000,000","$93,432,655","$162,526,238",255958893.0,Profit
153,12/18/2015,Alvin and the Chipmunks: The Road Chip,"$90,000,000","$85,886,987","$249,520,430",335407417.0,Profit
154,7/24/2015,Pixels,"$90,000,000","$78,765,986","$244,144,701",322910687.0,Profit
155,8/7/2013,Percy Jackson: Sea of Monsters,"$90,000,000","$68,559,554","$200,859,554",269419108.0,Profit
156,6/10/2016,Now You See Me 2,"$90,000,000","$65,075,540","$328,675,540",393751080.0,Profit
157,3/16/2018,Tomb Raider,"$90,000,000","$57,421,715","$272,649,527",330071242.0,Profit
158,4/21/2017,The Promise,"$90,000,000","$8,224,288","$10,524,093",18748381.0,Loss
159,3/21/2014,Divergent,"$85,000,000","$150,947,895","$276,014,965",426962860.0,Profit
160,1/20/2017,xXx: Return of Xander Cage,"$85,000,000","$44,898,413","$345,114,933",390013346.0,Profit
161,12/20/2017,The Greatest Showman,"$84,000,000","$174,026,442","$428,123,608",602150050.0,Profit
162,7/19/2013,RED 2,"$84,000,000","$53,262,560","$137,162,560",190425120.0,Profit
163,2/10/2017,The Lego Batman Movie,"$80,000,000","$175,750,384","$310,940,997",486691381.0,Profit
164,9/25/2015,Hotel Transylvania 2,"$80,000,000","$169,700,110","$470,751,398",640451508.0,Profit
165,7/12/2013,Grown Ups 2,"$80,000,000","$133,668,525","$247,023,808",380692333.0,Profit
166,10/17/2014,Fury,"$80,000,000","$85,817,906","$210,315,681",296133587.0,Profit
167,12/20/2013,Walking with Dinosaurs,"$80,000,000","$36,076,121","$130,580,730",166656851.0,Profit
168,10/23/2015,The Last Witch Hunter,"$80,000,000","$27,367,660","$131,234,406",158602066.0,Profit
169,2/21/2014,Pompeii,"$80,000,000","$23,169,033","$108,469,033",131638066.0,Profit
170,9/27/2013,Cloudy with a Chance of Meatballs 2,"$78,000,000","$119,793,567","$274,392,649",394186216.0,Profit
171,2/12/2016,The Little Prince,"$77,500,000","$1,311,213","$103,386,888",104698101.0,Profit
172,7/3/2013,Despicable Me 2,"$76,000,000","$368,065,385","$975,216,835",1343282220.0,Profit
173,7/8/2016,The Secret Life of Pets,"$75,000,000","$368,384,330","$886,779,788",1255164118.0,Profit
174,12/21/2016,Sing,"$75,000,000","$270,329,045","$635,162,817",905491862.0,Profit
175,6/30/2017,Despicable Me 3,"$75,000,000","$264,624,300","$1,034,542,646",1299166946.0,Profit
176,5/31/2013,Now You See Me,"$75,000,000","$117,723,989","$342,769,200",460493189.0,Profit
177,8/14/2015,The Man From U.N.C.L.E.,"$75,000,000","$45,445,109","$105,445,109",150890218.0,Profit
178,10/28/2016,Inferno,"$75,000,000","$34,343,574","$219,561,188",253904762.0,Profit
179,7/10/2015,Minions,"$74,000,000","$336,045,770","$1,167,245,366",1503291136.0,Profit
180,2/6/2015,The SpongeBob Movie: Sponge Out of Water,"$74,000,000","$162,994,032","$311,594,032",474588064.0,Profit
181,5/20/2016,The Angry Birds Movie,"$73,000,000","$107,509,366","$352,829,528",460338894.0,Profit
182,11/10/2017,Daddyâs Home 2,"$70,000,000","$104,029,443","$176,154,137",280183580.0,Profit
183,3/22/2013,Olympus Has Fallen,"$70,000,000","$98,927,592","$150,562,164",249489756.0,Profit
