,budget,date,domesticgross,name,worldwidegross
221,"$500,000",01/08/2013,$0,Now is Good,"$2,141,436"
222,"$500,000",12/31/2013,$0,Bucky and the Squirrels,$0
223,"$300,000",08/07/2013,$0,Midnight Cabaret,$0
224,"$250,000",08/02/2013,"$59,671",The Canyons,"$62,375"
225,"$175,000",8/23/2013,"$2,602",Sparrows Dance,"$2,602"
226,"$150,000",12/31/2013,$0,Speak No Evil,"$32,927"
227,"$150,000",05/03/2013,$0,Aroused,$0
228,"$100,000",12/31/2013,$0,Echo Dr.,$0
229,"$60,000",1/25/2013,"$4,917",Supporting Characters,"$4,917"
230,"$55,000",10/04/2013,$0,The Dirties,$0
231,"$45,000",10/25/2013,$0,A True Story,$0
232,"$42,000",6/21/2013,$0,This Is Martin Bonner,$0
233,"$35,000",10/25/2013,$0,Her Cry: La Llorona Investigation,$0
234,"$30,000",12/31/2013,$0,Paraphobia,$0
